order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,1,1,79.99,0
2,1,9,1,19.99,0
3,2,2,1,49.99,0
4,3,4,1,29.99,0
5,3,6,1,24.99,0
6,3,9,1,19.99,0
7,4,6,1,24.99,0
8,5,5,1,34.99,0
9,5,8,1,59.99,5.00
10,6,8,1,59.99,0
11,7,1,1,79.99,0
12,8,5,1,34.99,0
13,9,10,1,129.99,0
14,10,10,1,129.99,0
15,10,7,1,14.99,0
16,10,9,1,19.99,0
17,11,9,1,19.99,0
18,12,10,1,129.99,0
19,13,3,1,54.99,0
20,14,6,1,24.99,0
21,15,1,1,79.99,0
22,16,4,1,29.99,0
23,16,12,1,24.99,10.00
24,17,4,1,29.99,0
25,18,8,1,59.99,0
26,19,5,1,34.99,0
27,19,6,1,24.99,0
28,19,9,1,19.99,0
29,20,2,1,49.99,0
30,21,5,1,34.99,0
31,22,6,1,24.99,0
32,23,1,1,79.99,0
33,23,9,1,19.99,0
34,24,10,1,129.99,0
35,25,3,1,54.99,0
